Frequency,Concurrency,Inferences/Second,Client Send,Network+Server Send/Recv,Server Queue,Server Compute Input,Server Compute Infer,Server Compute Output,Client Recv,p50 latency,p90 latency,p95 latency,p99 latency
114750000,1,35.7333,133,496,38,996,109947,24,0,111656,111826,111852,111985
216750000,1,66.9333,112,400,43,627,58585,21,0,59778,59985,60019,60097
318750000,1,96.8,133,545,37,499,40171,23,0,41408,41500,41541,41595
420750000,1,125.333,136,482,40,476,30695,22,0,31851,31935,31963,32064
522750000,1,153.067,124,531,35,452,24952,20,0,26117,26201,26233,26286
624750000,1,179.733,125,469,39,457,21109,21,0,22222,22312,22344,22408
675750000,1,192.267,124,513,36,453,19633,21,0,20782,20871,20903,20948
828750000,1,228.267,125,512,37,403,16417,20,0,17517,17620,17651,17690
905250000,1,246.133,117,486,36,386,15199,20,0,16249,16358,16391,16453
1032750000,1,270.933,114,500,37,380,13714,20,0,14772,14876,14903,14950
1198500000,1,299.733,120,498,36,383,12279,21,0,13335,13501,13533,13589
1236750000,1,305.067,118,514,35,387,12032,22,0,13112,13252,13277,13332
1338750000,1,320.533,118,525,35,389,11391,23,0,12481,12601,12639,12755
1377000000,1,325.333,116,522,36,391,11206,22,0,12298,12445,12479,12540
