Batch Size,Concurrency,Inferences/Second,Client Send,Network+Server Send/Recv,Server Queue,Server Compute Input,Server Compute Infer,Server Compute Output,Client Recv,p50 latency,p90 latency,p95 latency,p99 latency
1,1,34.2,164,618,69,622,27741,34,0,29113,30003,30444,30903
2,1,38.1333,285,1064,85,1465,49520,53,0,52153,53636,54228,54747
3,1,37.6,363,1516,130,2804,74560,59,1,79567,80590,81294,82379
4,1,41.8667,507,1802,177,3935,89254,81,1,95768,97184,98031,99839
5,1,39.3333,710,2296,299,5380,118637,137,1,127428,129590,130683,132098
6,1,42.4,799,2598,243,6000,131737,151,2,141306,143782,144581,145875
7,1,41.0667,818,2911,303,6972,159215,209,2,170513,172654,173727,174816
8,1,44.8,908,3162,283,7547,166324,227,2,178160,181443,182480,182695
9,1,40.8,1315,4218,390,8933,202764,308,3,217468,221201,222876,223532
10,1,44.6667,1083,4102,372,9259,209733,306,2,224161,227733,229502,230092
11,1,41.0667,1445,4934,444,10781,247914,317,4,265241,270174,270691,271409
12,1,45.6,1221,3932,423,10901,245269,350,2,261486,265728,267531,269173
13,1,41.6,1579,5456,564,12609,286097,381,3,306749,310376,311300,312582
14,1,44.8,1202,4356,441,12262,289592,384,3,307809,312839,313545,314366
15,1,42,1436,5281,573,13569,330644,380,3,352265,356246,356396,357167
16,1,48,1397,4689,417,12833,315617,375,10,336065,339205,339885,340143
17,1,44.2,1515,5152,620,14974,367338,423,3,390453,393402,394441,394950
18,1,48,1498,4611,474,14920,360411,363,4,382435,386130,386409,388855
19,1,44.3333,1599,5523,647,16585,416124,424,3,441285,443983,444028,445756
20,1,48,1547,4720,487,16104,395415,434,4,418643,423754,424061,426701
21,1,43.4,1519,5298,626,17523,457981,430,4,484101,486775,487684,487820
22,1,45.4667,1503,5620,613,17600,450492,402,3,476667,479893,480633,482141
23,1,42.9333,1510,5319,608,17608,501874,431,4,528363,530287,533021,533462
24,1,49.6,1558,5421,608,18731,473064,417,4,500277,503671,504000,505232
25,1,45,1516,5781,566,18299,531182,467,4,556657,564446,567020,568363
26,1,48.5333,1494,4737,500,18078,516607,466,3,542517,544996,546783,547080
27,1,45,1602,4804,622,19340,573949,510,4,600229,605795,606038,606427
28,1,50.4,1535,4809,625,19281,537459,537,3,563394,568698,569289,575631
29,1,44.4667,1515,5889,644,20722,614488,488,4,643751,648510,648854,649620
30,1,48,1562,5035,567,20727,595142,502,4,624162,629412,630920,631040
31,1,43.4,1490,4812,559,20963,656731,472,3,685893,689267,689980,690774
32,1,49.0667,1622,5145,554,21115,614518,534,4,644128,646675,647154,647919
