Start,End,Frequency
1632174303920,1632174358341,76800000
1632174368396,1632174422597,153600000
1632174432632,1632174486763,230400000
1632174496854,1632174551058,307200000
1632174561093,1632174615228,384000000
1632174625264,1632174679346,460800000
1632174689382,1632174743473,537600000
1632174753508,1632174807613,614400000
1632174817650,1632174871751,691200000
1632174881787,1632174935886,768000000
1632174945922,1632175000028,844800000
1632175010063,1632175064165,921600000
