Start,End,Frequency
1632681293586,1632681475646,76800000
1632681485681,1632681539947,153600000
1632681549982,1632681604956,230400000
1632681614991,1632681669406,307200000
1632681679441,1632681733925,384000000
1632681743961,1632681798347,460800000
1632681808381,1632681862604,537600000
1632681872639,1632681927045,614400000
1632681937080,1632681991236,691200000
1632682001271,1632682055565,768000000
1632682065600,1632682119846,844800000
1632682129881,1632682184141,921600000
