Start,End,Frequency
1632677921338,1632678029791,76800000
1632678039829,1632678094113,153600000
1632678104149,1632678158261,230400000
1632678168296,1632678222473,307200000
1632678232508,1632678286621,384000000
1632678296656,1632678350759,460800000
1632678360795,1632678414933,537600000
1632678424968,1632678479109,614400000
1632678489145,1632678543268,691200000
1632678553303,1632678607428,768000000
1632678617464,1632678671584,844800000
1632678681620,1632678735717,921600000
