1626668031204,10.8
1626668032211,10.9
1626668033214,11.2
1626668034216,11.4
1626668035207,11.5
1626668036211,11.7
1626668037215,11.8
1626668038206,11.9
1626668039211,12.0
1626668040216,12.0
1626668041207,12.1
1626668042212,12.1
1626668043215,12.1
1626668044217,12.1
1626668045208,12.1
1626668046215,12.1
1626668047207,12.1
1626668048213,12.0
1626668049216,12.1
1626668050219,12.1
1626668051225,12.0
1626668052212,12.0
1626668053213,12.1
1626668054217,12.1
1626668055219,12.1
1626668056210,12.0
1626668057213,12.1
1626668058215,12.1
1626668059218,12.0
1626668060210,12.0
1626668061215,12.1
19558474810.735031
