Start,End,Frequency
1632839009486,1632839081576,114750000
1632839091608,1632839145803,216750000
1632839155835,1632839210026,318750000
1632839220059,1632839274136,420750000
1632839284168,1632839338249,522750000
1632839348281,1632839402361,624750000
1632839412394,1632839466484,675750000
1632839476516,1632839530630,828750000
1632839540662,1632839594723,905250000
1632839604755,1632839658817,1032750000
1632839668850,1632839722938,1198500000
1632839732971,1632839787038,1236750000
1632839797071,1632839851143,1338750000
1632839861176,1632839915266,1377000000
