Frequency,Concurrency,Inferences/Second,Client Send,Network+Server Send/Recv,Server Queue,Server Compute Input,Server Compute Infer,Server Compute Output,Client Recv,p50 latency,p90 latency,p95 latency,p99 latency
114750000,1,42.6667,203,545,42,6336,718272,36,0,725433,725694,725730,725881
216750000,1,83.2,203,560,39,3558,381515,35,0,385880,386067,386217,386408
318750000,1,121.6,190,550,38,2858,260522,35,0,264189,264421,264455,264541
420750000,1,157.867,176,562,41,2232,198293,34,0,201347,201494,201545,201589
522750000,1,194.133,169,554,39,2200,160622,33,0,163622,163721,163776,163809
624750000,1,232.533,166,550,38,2202,135461,34,0,138444,138565,138596,138717
675750000,1,249.6,166,526,41,2206,125915,33,0,128876,129027,129118,129180
828750000,1,298.667,168,611,43,2206,104523,34,0,107551,108057,108147,108323
905250000,1,322.133,163,547,41,2159,96669,34,0,99536,100100,100248,100415
1032750000,1,354.133,165,638,42,2207,87308,33,0,90405,90889,90969,91107
1198500000,1,392.533,167,535,40,2269,78223,33,0,81165,82037,82659,83108
1236750000,1,401.067,169,609,41,2299,76627,35,0,79777,80397,80583,80776
1338750000,1,418.133,172,610,39,2338,73082,33,0,76206,77165,77402,77529
1377000000,1,424.533,163,565,42,2338,71920,33,0,75067,75633,75752,75929
