Start,End,Frequency
1632800671059,1632800672858,114750000
Start,End,Frequency
1632800715801,1632800769856,114750000
1632800779889,1632800833965,216750000
1632800843999,1632800898061,318750000
1632800908093,1632800962157,420750000
1632800972189,1632801026242,522750000
1632801036276,1632801090330,624750000
1632801100363,1632801154414,675750000
1632801164446,1632801218505,828750000
1632801228538,1632801282589,905250000
1632801292623,1632801346680,1032750000
1632801356713,1632801410769,1198500000
1632801420804,1632801474857,1236750000
1632801484891,1632801538943,1338750000
1632801548976,1632801603034,1377000000
