Start,End,Frequency
1632802805390,1632802877445,114750000
1632802887477,1632802941553,216750000
1632802951585,1632803005639,318750000
1632803015672,1632803069742,420750000
1632803079775,1632803133838,522750000
1632803143870,1632803197920,624750000
1632803207953,1632803262004,675750000
1632803272037,1632803326099,828750000
1632803336132,1632803390186,905250000
1632803400219,1632803454275,1032750000
1632803464307,1632803518365,1198500000
1632803528397,1632803582454,1236750000
1632803592486,1632803646539,1338750000
1632803656573,1632803710629,1377000000
