Frequency,Concurrency,Inferences/Second,Client Send,Network+Server Send/Recv,Server Queue,Server Compute Input,Server Compute Infer,Server Compute Output,Client Recv,p50 latency,p90 latency,p95 latency,p99 latency
114750000,1,42.6667,187,490,41,3274,371886,31,0,375920,376448,376464,376684
216750000,1,80,170,536,37,1869,197693,29,0,200301,200594,200636,200770
318750000,1,116.267,164,537,36,1496,135016,30,0,137282,137433,137472,137586
420750000,1,152.533,162,532,38,1214,102796,26,0,104767,104915,104958,105093
522750000,1,187.733,160,538,38,1193,83304,26,0,85263,85372,85409,85441
624750000,1,221.867,161,545,37,1183,70270,27,0,72229,72332,72382,72454
675750000,1,236.8,163,547,39,1192,65355,26,0,67324,67437,67469,67502
828750000,1,283.733,162,536,39,1193,54308,27,0,56243,56505,56554,56642
905250000,1,307.2,159,565,40,1165,50169,27,0,52108,52358,52433,52544
1032750000,1,340.267,161,541,38,1156,45094,26,0,47002,47262,47392,47642
1198500000,1,376.533,166,586,36,1165,40414,26,0,42413,42770,42862,42984
1236750000,1,384,158,621,38,1185,39606,26,0,41590,42000,42077,42226
1338750000,1,404.267,155,514,42,1206,37709,25,0,39610,40041,40203,40378
1377000000,1,407.467,161,621,37,1214,37135,25,0,39201,39577,39711,39934
