Batch Size,Concurrency,Inferences/Second,Client Send,Network+Server Send/Recv,Server Queue,Server Compute Input,Server Compute Infer,Server Compute Output,Client Recv,p50 latency,p90 latency,p95 latency,p99 latency
1,1,39.0667,155,648,87,570,24075,32,0,25445,26349,26631,27150
2,1,44.2667,239,798,95,1269,42711,41,0,44883,46427,46661,47403
3,1,43.2,348,1164,123,2566,65212,51,1,69394,70694,71119,72043
4,1,46.9333,494,1773,177,3700,79026,72,1,85008,87755,88431,89009
5,1,44.6667,616,2141,265,5095,103329,108,1,111276,113813,114203,114954
6,1,47.2,694,2380,292,5913,117762,128,2,127017,129517,129840,130957
7,1,46.2,757,2704,250,6514,139933,162,2,149937,152440,153799,154303
8,1,49.6,801,2600,254,7667,148226,188,2,159574,162394,163039,163968
9,1,46.8,1199,4241,353,9194,178055,284,3,193089,196578,197685,198982
10,1,49.3333,1189,4272,490,10030,185996,294,3,202554,205796,205969,207682
11,1,46.9333,1313,4587,464,10682,217117,317,4,234830,237752,239370,239744
12,1,50.4,1394,4411,516,11645,217634,323,3,236071,239561,240463,241561
13,1,48.5333,1251,4482,470,11750,250454,357,3,268285,273310,274530,275060
14,1,51.3333,1277,4620,460,11827,257066,368,2,275657,278957,279626,280256
15,1,49,1519,4868,572,13972,288580,358,4,310472,313165,313406,316105
16,1,52.2667,1495,4603,496,13877,279574,399,9,300079,303949,305226,310620
17,1,49.8667,1546,5577,616,14722,321256,418,3,344497,347180,347280,349981
18,1,51.6,1515,4765,487,15185,320393,419,4,342792,347428,349996,350656
19,1,49.4,1409,5262,577,15203,363786,409,3,386242,390909,391824,393168
20,1,54.6667,1496,5373,684,15925,348816,440,3,373031,376867,377474,379427
21,1,50.4,1589,5259,673,17756,400242,484,4,425810,429072,429490,431544
22,1,52.8,1496,5209,533,16693,397582,453,4,421974,427165,427877,430739
23,1,49.0667,1510,5052,573,17037,438351,416,3,464146,467841,468127,473604
24,1,52.8,1526,5398,530,17994,418612,434,4,444409,449998,450328,451276
25,1,50,1505,4882,597,18430,465051,435,3,491558,494741,496509,498376
26,1,52,1513,5101,546,19056,457593,469,3,485111,488821,489169,489451
27,1,52.2,1498,5637,572,18633,504189,485,3,530934,535898,536857,537195
28,1,54.1333,1594,4940,537,19484,475641,484,4,502183,507868,512156,513710
29,1,52.2,1516,5019,612,20084,537580,538,3,565468,569297,569828,572025
30,1,56,1593,4849,631,19873,527737,538,4,555192,560275,561550,562751
31,1,51.6667,1697,5107,584,20773,576092,486,4,603937,609327,611336,612391
32,1,57.6,1597,5047,539,20394,545961,522,4,573951,578556,578899,579180
