Start,End,Frequency
1632801823457,1632801895577,114750000
1632801905609,1632801959696,216750000
1632801969730,1632802023798,318750000
1632802033831,1632802087893,420750000
1632802097925,1632802151993,522750000
1632802162026,1632802216087,624750000
1632802226119,1632802280184,675750000
1632802290217,1632802344273,828750000
1632802354305,1632802408360,905250000
1632802418393,1632802472452,1032750000
1632802482484,1632802536539,1198500000
1632802546572,1632802600624,1236750000
1632802610657,1632802664711,1338750000
1632802674744,1632802728793,1377000000
