Frequency,Concurrency,Inferences/Second,Client Send,Network+Server Send/Recv,Server Queue,Server Compute Input,Server Compute Infer,Server Compute Output,Client Recv,p50 latency,p90 latency,p95 latency,p99 latency
76800000,1,5.33333,143,651,84,2929,740986,32,0,744898,745186,745850,746364
153600000,1,10.4,141,553,72,2002,374124,33,0,376920,377326,377447,377699
230400000,1,15.7333,142,527,54,1540,252835,33,0,255140,255337,255443,255505
307200000,1,20.8,128,488,66,1434,189994,33,0,192139,192352,192377,192459
384000000,1,25.6,127,502,41,1370,154831,32,0,156908,157108,157179,157271
460800000,1,29.8667,128,501,40,1340,131014,33,0,133053,133265,133309,133380
537600000,1,34.1333,126,529,49,1351,114265,32,0,116311,116708,116768,116872
614400000,1,38.4,128,504,52,1352,101814,33,0,103844,104197,104234,104390
691200000,1,42.1333,128,507,54,1339,93345,33,0,95360,95751,95821,95959
768000000,1,45.0667,130,497,49,1344,86712,33,0,88770,89107,89182,89323
844800000,1,48.2667,127,515,49,1344,81062,32,0,83175,83428,83554,83638
921600000,1,50.9333,127,496,47,1342,76482,33,0,78489,78975,79069,79144
