Frequency,Concurrency,Inferences/Second,Client Send,Network+Server Send/Recv,Server Queue,Server Compute Input,Server Compute Infer,Server Compute Output,Client Recv,p50 latency,p90 latency,p95 latency,p99 latency
114750000,1,29.6,121,444,37,644,66292,18,0,67562,67690,67741,67784
216750000,1,54.9333,113,414,44,442,35351,16,0,36367,36490,36546,36705
318750000,1,78.9333,115,479,33,385,24270,16,0,25286,25387,25432,25490
420750000,1,102.267,111,447,35,354,18596,17,0,19557,19633,19677,19758
522750000,1,124.8,112,415,39,327,15118,16,0,16021,16119,16172,16266
624750000,1,146,102,416,37,314,12802,18,0,13698,13793,13816,13864
675750000,1,156,101,420,37,315,11927,19,0,12818,12917,12945,12996
828750000,1,183.733,108,471,34,303,9944,18,0,10876,10954,10984,11028
905250000,1,198.133,98,432,36,299,9201,19,0,10095,10188,10213,10265
1032750000,1,219.2,103,448,30,257,8257,19,0,9114,9184,9207,9240
1198500000,1,244.133,98,431,32,246,7360,19,0,8194,8283,8308,8352
1236750000,1,249.6,91,415,35,240,7206,18,0,8007,8090,8111,8165
1338750000,1,262.133,101,436,31,238,6798,19,0,7623,7701,7729,7769
1377000000,1,266.533,104,436,32,237,6668,19,0,7501,7599,7629,7684
